date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:32	11630/11630	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2017:22:31%20GMT	https://valhal.la/desktop	C:/sd/s/valhal.la/desktop.html	(from )
20:22:32	697/697	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2008%20Mar%202024%2017:22:32%20GMT	https://valhal.la/robots.txt		(from )
20:22:32	313828/313828	---M--	200	added ('OK')	font/woff	etag:%2276939806c53ec5b05996ebb24356ae27%22	https://valhal.la/WOFF/jackeyfont.woff	C:/sd/s/valhal.la/WOFF/jackeyfont.woff	(from https://valhal.la/desktop)
20:22:32	1270424/1270424	---M--	200	added ('OK')	font/woff	etag:%2226e3afb2bf32462b5e01ec5b72614531%22	https://valhal.la/WOFF/FreeSerif-YO4a.woff	C:/sd/s/valhal.la/WOFF/FreeSerif-YO4a.woff	(from https://valhal.la/desktop)
20:22:32	432/432	---MCZ	200	added ('OK')	text/css	etag:W/%22f76ae3330512e2807ddac9a5c610282c%22	https://valhal.la/crt.css	C:/sd/s/valhal.la/crt.css	(from https://valhal.la/desktop)
20:22:33	6427/6427	---MCZ	200	added ('OK')	text/css	etag:W/%225289fc5d9c5288e21a7331e685254daa%22	https://valhal.la/desktop.css	C:/sd/s/valhal.la/desktop.css	(from https://valhal.la/desktop)
20:22:34	72/72	---MCZ	302	error ('Found')	text/html	date:Fri,%2008%20Mar%202024%2017:22:34%20GMT	https://unpkg.com/98.css	C:/sd/s/unpkg.com/98.5.delayed	(from https://valhal.la/desktop)
20:22:34	500725/500725	---MCZ	200	added ('OK')	text/css	etag:W/%228778597c9649abf1e2a16417de22d486%22	https://site-assets.fontawesome.com/releases/v6.2.0/css/all.css	C:/sd/s/site-assets.fontawesome.com/releases/v6.2.0/css/all.css	(from https://valhal.la/desktop)
20:22:35	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/sd/s/code.jquery.com/jquery-3.6.0.min.js	(from https://valhal.la/desktop)
20:22:35	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/sd/s/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://valhal.la/desktop)
20:22:35	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3dee4%22	https://code.jquery.com/ui/1.12.1/jquery-ui.min.js	C:/sd/s/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://valhal.la/desktop)
